#;Трекер;Статус;Приоритет;Тема;Назначена;Обновлено;Описание
21484;Ошибка;Новая;Нормальный;Смешанная локализация в разделе  “Іграшки та сувеніри”  ;Redmine Admin;18.07.2023 23:13;"*Шаги воспроизведения:* 
1. Открыть сайт https://ibis.net.ua/
2. Выбрать UA локализацию 
3. В левом меню выбрать пункт “Іграшки та сувеніри” 
4. В верхней части открывшейся страницы перейти в раздел “ІГРАШКОВІ МАШИНКИ І ТЕХНІКА”
5. Спуститься вниз и перейти на страницу номер 7

    
*Ожидаемый результат:* Содержимое страницы  в UA локализации
    
*Фактический результат:* Содержимое страницы в смешанной  локализации

https://prnt.sc/q4delX98vqbF 
"
21483;Ошибка;Новая;Нормальный; Некорректное отображение содержимого страницы при переходе в Чат - бот из футера главной страницы ;Redmine Admin;18.07.2023 22:46;"*Шаги воспроизведения:* 
1. Открыть сайт https://ibis.net.ua/
2. Перейти в футер страницы
3. В разделе “ПОКУПЦЕВІ” перейти в Чат-бот
4. После перехода написать сообщение
   
*Ожидаемый результат:* Откроется страница Чат-бота
*Фактический результат:*  Некорректное отображение содержимого открывшейся страницы 
 
https://prnt.sc/zcRtCF8RN8mD 
"
21482;Ошибка;Новая;Нормальный;Происходит переход к разделу “Зворотний зв'язок” при нажатии на кнопку “Нормативна база” в разделе  “Сервісні послуги”;Redmine Admin;18.07.2023 22:28;"*Шаги воспроизведения:* 
1. Открыть сайт https://ibis.net.ua/
2. В хедере навести курсор на выпадающее меню “Сервісні послуги”
3. Выбрать пункт “Збройові майстерні” 
4. На открывшейся странице в левой части меню найти раздел “Нормативна база”
5. Перейти к разделу, нажав на кнопку “Нормативна база”
 
*Ожидаемый результат:* Будет осуществлен переход к разделу “Нормативна база”
   
*Фактический результат:* Происходит переход к разделу “Зворотний зв'язок”

https://prnt.sc/obPjIo7HFfdL 
"
21481;Ошибка;Новая;Нормальный;Не кликабельна кнопка “Відгуки”  на странице “Майстерні рибальські” ;Redmine Admin;18.07.2023 22:10;"*Шаги воспроизведения:* 
1. Открыть сайт https://ibis.net.ua/
2. В хедере навести курсор на выпадающее меню “Сервісні послуги”
3. Выбрать пункт “Майстерні рибальські” 
4. На открывшейся странице в левой части меню найти раздел “Відгуки”
5. Перейти к отзывам, нажав на кнопку “Відгуки”

*Ожидаемый результат:* После нажатия кнопки  “Відгуки” будет произведен переход к отзывам 
*Фактический результат:*  Кнопка “Відгуки” не кликабельна

https://prnt.sc/l41m8CezSyLc 
"
21480;Ошибка;Новая;Нормальный;Отсутствие эскизов  каталогов  на странице “Ігрові набори”;Redmine Admin;18.07.2023 17:59;"*Шаги воспроизведения:* 
1. Открыть сайт https://ibis.net.ua/
2. В левом меню выбрать пункт “Іграшки та сувеніри” 
3. На открывшейся странице в разделе “Категорії” перейти  “Всі іграшки” - “Ігрові набори” 
4. Перейти к каталогу “Конструктори”
    
*Ожидаемый результат:* На странице с каталогами будут присутствовать эскизы
    
*Фактический результат:* Эскизы каталогов отсутствуют

https://prnt.sc/HktsQGJPy18q 
"
21479;Ошибка;Новая;Нормальный;Ошибка локализации  на странице “Ігрові набори”;Redmine Admin;18.07.2023 17:49;"*Шаги воспроизведения:* 
1. Открыть сайт https://ibis.net.ua/
2. Выбрать UA локализацию 
3. В левом меню выбрать пункт “Іграшки та сувеніри” 
4. На открывшейся странице в разделе “Категорії” перейти “Всі іграшки” - “Ігрові набори”   

*Ожидаемый результат:* Содержимое страницы “Ігрові набори”  в UA локализации
*Фактический результат:* Смешанная локализация страницы

https://prnt.sc/J-Y9gj3eQq51 
"
21478;Ошибка;Новая;Нормальный;Переключение на UA локализацию при переходе из корзины на главный сайт;Redmine Admin;18.07.2023 17:17;"*Шаги воспроизведения:* 
1. Открыть сайт https://ibis.net.ua/
2. Выбрать RU локализацию 
3. Справа в хедере ввести в поисковой строке “Туристические палатки”
4. Перейти к результатам поиска
5. В левой части страницы выбрать категорию “Палатки”
6. На открывшейся странице выбрать “Палатка Pinguin INTERVAL 4 Air Tube зеленый” 
7. Добавить данный товар в корзину
8. Нажать “Оформить заказ”
9. После перехода на страницу оформления заказа в хедере слева нажать логотип “ІБІС”

*Ожидаемый результат:* После перехода главная страница останется в RU локализации  
*Фактический результат:* Главная страница открывается в UA локализации 

https://prnt.sc/lm7mBD1n4zPE 
https://prnt.sc/TYk4s18RvKQn 
"
21477;Ошибка;Новая;Нормальный;Отсутствие сортировки при просмотре товара;Redmine Admin;18.07.2023 17:00;"*Шаги воспроизведения:* 
1. Открыть сайт https://ibis.net.ua/
2. Справа в хедере ввести в поисковой строке “Туристические палатки”
3. Перейти к результатам поиска
4. В левой части страницы выбрать категорию “Палатки”
5. После загрузки страницы отсортировать результаты по цене, или рейтингу

*Ожидаемый результат:* На странице предоставлена возможность сортировки товара по цене/рейтингу
*Фактический результат:* Возможность сортировки товара отсутствует

https://prnt.sc/vzIY4jOkxT8X 
"
21476;Ошибка;Новая;Нормальный;"Ошибка локализации в разделе ""Акции""";Redmine Admin;18.07.2023 16:41;" *Шаги воспроизведения:* 
1. Открыть сайт https://ibis.net.ua/
2. В хедере справа выбрать локализацию RU
3. Перейти в футер страницы
4. Выбрать раздел “Акции”
5. Перейти на открывшуюся страницу

 *Ожидаемый результат:* Содержимое страницы в RU локализации
 *Фактический результат:* Локализация смешана

https://prnt.sc/2vrRDQs50i5H 
"
21475;Ошибка;Новая;Нормальный;"Ошибка локализации  в разделе ""Режим работы магазинов""";Redmine Admin;18.07.2023 16:32;"*Шаги воспроизведения:* 
1. Открыть сайт https://ibis.net.ua/
2. В хедере справа выбрать локализацию RU
3. Перейти в футер страницы
4. В левой части выбрать раздел “Режим работы магазинов”
5. Перейти на открывшуюся страницу

*Ожидаемый результат:* Весь контент будет в RU локализации
* Фактический результат:* На открывшейся странице локализация смешана

https://prnt.sc/evQxotF0CqId "
21474;Ошибка;Новая;Нормальный;"[L10N] Ошибка локализации в разделе ""О компании"" в футере";Elena Gusarenko;17.07.2023 15:42;"*Шаги воспроизведения:*
1) Зайти на сайт https://ibis.net.ua/
2) Выбрать RU локализацию
3) Выбрать раздел ""О компании"" в футере
https://prnt.sc/_zr5CRmPlMRB

*Ожидаемый результат:* Раздел ""О компании"" при RU локализации воспроизводится на русском языке
*Фактический результат:* Раздел ""О компании"" при RU локализации воспроизводится на украинском языке

https://gyazo.com/37dd47be9a2ad9c8e614ba704ca48d94"
